,ntacode,ntaname,count
620,208203086,208203,0
621,009221045,009221,0
622,002408013,002408,0
623,005509031,005509,0
624,006104008,006104,0
625,007402016,007402,1
626,002204026,002204,0
627,005621031,005621,0
628,008535018,008535,0
629,004402049,004402,0
630,001310001,001310,0
631,001310003,001310,0
632,004402051,004402,0
633,004402053,004402,0
634,004406044,004406,0
635,004406042,004406,0
636,004406043,004406,0
637,004406046,004406,0
638,004406047,004406,0
639,004406048,004406,0
640,004406049,004406,0
641,004406051,004406,0
642,004406052,004406,0
643,004406054,004406,0
644,004406055,004406,0
645,004406056,004406,0
646,004304075,004304,0
647,004211021,004211,0
648,004211024,004211,0
649,004211016,004211,0
650,008535017,008535,0
651,003201019,003201,0
652,004208025,004208,0
653,004212030,004212,0
654,004212036,004212,0
655,004413036,004413,1
656,002540022,002540,0
657,005305018,005305,0
658,004307017,004307,1
659,005305029,005305,0
660,005601056,005601,0
661,008418051,008418,8
662,009250025,009250,0
663,005619008,005619,0
664,004530057,004530,0
665,005619009,005619,0
666,004402046,004402,1
667,002564048,002564,0
668,004306013,004306,0
669,001301062,001301,0
670,004401007,004401,0
671,004401004,004401,0
672,004401006,004401,0
673,004401009,004401,0
674,001424025,001424,0
675,005602034,005602,6
676,009210040,009210,2
677,004401010,004401,0
678,004401013,004401,0
679,004401015,004401,0
680,004401016,004401,0
681,004401017,004401,0
682,004403028,004403,0
683,004403029,004403,1
684,004403032,004403,0
685,004403033,004403,0
686,004403034,004403,1
687,004403035,004403,0
688,004403036,004403,0
689,002415049,002415,2
690,002415052,002415,0
691,004211020,004211,0
692,004211017,004211,0
693,004211018,004211,0
694,009102010,009102,2
695,005657082,005657,0
696,003208003,003208,0
697,002553019,002553,0
698,004534071,004534,1
699,002553036,002553,0
700,006505020,006505,0
701,004607007,004607,0
702,009111076,009111,0
703,004403060,004403,0
704,004403058,004403,0
705,005602035,005602,0
706,005603001,005603,0
707,004403063,004403,0
708,004403064,004403,0
709,004403066,004403,0
710,004212021,004212,0
711,004212018,004212,0
712,004212019,004212,0
713,004212020,004212,0
714,004212026,004212,0
715,005509037,005509,0
716,005509038,005509,0
717,004403016,004403,0
718,004403017,004403,0
719,004403018,004403,0
720,004403020,004403,0
721,004403021,004403,0
722,004403022,004403,0
723,004403024,004403,0
724,004406022,004406,0
725,004406025,004406,0
726,004406027,004406,0
727,004406028,004406,0
728,004406032,004406,0
729,004406034,004406,0
730,004406023,004406,1
731,005509039,005509,0
732,005509040,005509,0
733,001310019,001310,0
734,001310020,001310,0
735,004305023,004305,0
736,004316045,004316,0
737,005635002,005635,0
738,005619002,005619,1
739,005619006,005619,1
740,005619007,005619,2
741,004403025,004403,0
742,004501028,004501,1
743,001305012,001305,0
744,008311014,008311,0
745,002310030,002310,0
746,004403027,004403,0
747,007204020,007204,0
748,002553039,002553,0
749,002431053,002431,0
750,001310038,001310,1
751,005620019,005620,0
752,004308020,004308,0
753,004308011,004308,0
754,004308021,004308,0
755,003208008,003208,0
756,002104027,002104,0
757,002434001,002434,0
758,005102031,005102,1
759,005661071,005661,0
760,008521016,008521,1
761,004631034,004631,1
762,004631039,004631,0
763,004631040,004631,0
764,002438024,002438,0
765,004631041,004631,0
766,004631042,004631,0
767,004631043,004631,0
768,009207039,009207,3
769,004621005,004621,0
770,001420037,001420,0
771,004642006,004642,0
772,004642008,004642,0
773,004642010,004642,0
774,005106005,005106,0
775,005106002,005106,0
776,005106003,005106,0
777,005106004,005106,0
778,005106006,005106,0
779,004546037,004546,1
780,009136028,009136,7
781,001410001,001410,0
782,008306009,008306,1
783,005502002,005502,0
784,002616054,002616,0
785,001319030,001319,0
786,008517012,008517,1
787,004558026,004558,0
788,005102033,005102,1
789,002564047,002564,0
790,009136031,009136,0
791,005102038,005102,0
792,002526001,002526,0
793,001345035,001345,0
794,007201001,007201,0
795,005102045,005102,0
796,006206010,006206,0
797,007201015,007201,0
798,005201036,005201,0
799,005201055,005201,0
800,006403098,006403,0
801,002434060,002434,0
802,004632018,004632,0
803,004632019,004632,0
804,006404005,006404,0
805,004401060,004401,0
806,009222007,009222,1
807,004542035,004542,0
808,004621011,004621,0
