,Barrio,acc_transito,homicidios,hurto_autos_x,hurto_comercial,hurto_autos_y,hurto_financieras,hurto_motos,conteo_hurto_residencial,conteo_lesiones_personales,conteo_pirateria,hurto_personas
2099,GOBERNACION CUNDINAMARCA E-13,,,,,,,1.0,,,,
2100,LUISITANIA E-8,,,,,,,1.0,,,,11.0
2101,EL CLARET E-6,,,,,,,1.0,1.0,4.0,,2.0
2102,SAN JOSE SURORIENTAL E-4,,,,,,,1.0,,1.0,,5.0
2103,SAN ANTONIO NORTE E-10,,,,,,,1.0,,3.0,,2.0
2104,EL QUIRINAL I ETAPA E-13,,,,,,,1.0,,1.0,,
2105,ANDALUCIA II SECTOR E-8,,,,,,,1.0,,,,
2106,CERROS DE SUBA E-11,,,,,,,1.0,2.0,3.0,,5.0
2107,NUEVO SUBA E-11,,,,,,,1.0,,,,
2108,SANTA INES SUR E-4,,,,,,,1.0,2.0,6.0,,8.0
2109,BELLO HORIZONTE E-1,,,,,,,1.0,,1.0,,
2110,EL TAPETE E-9,,,,,,,1.0,,2.0,,
2111,SANTA FE DEL TINTAL E-8,,,,,,,1.0,,5.0,,5.0
2112,LOS CENTAUROS E-7,,,,,,,1.0,2.0,,,
2113,LA ESMERALDA E-7,,,,,,,1.0,,1.0,,2.0
2114,TORRES DE SUBA E-11,,,,,,,1.0,,,,
2115,LOS PUENTES E-4,,,,,,,1.0,,,,
2116,BOSQUES DE CASTILLA E-8,,,,,,,1.0,1.0,3.0,,13.0
2117,ALASKA E-5,,,,,,,1.0,,6.0,,2.0
2118,LA CAROLINA SUBA E-11,,,,,,,1.0,3.0,1.0,,4.0
2119,LOS LIBERTADORES SECTOR SAN LUIS E-4,,,,,,,1.0,,,,
2120,SAN MARTIN DE PORRES E-8,,,,,,,1.0,,,,
2121,EL DIAMANTE E-7,,,,,,,1.0,,1.0,,
2122,CATALUÑA E-11,,,,,,,1.0,,1.0,,3.0
2123,EL CARMELO FAVIDI E-8,,,,,,,1.0,2.0,,,
2124,PARQUE BOSA PLAZA CENTRAL E-7,,,,,,,1.0,,,,
2125,JORDAN E-9,,,,,,,1.0,,,,
2126,SANTA MONICA E-8,,,,,,,1.0,,,,
2127,BERLIN E-8,,,,,,,1.0,,,,
2128,LA REGADERA SUR E-5,,,,,,,1.0,2.0,1.0,,
2129,MIRADOR DE LA ESTANCIA E-19,,,,,,,1.0,,,,
2130,LAS DELICIAS E-5,,,,,,,1.0,,,,
2131,TISQUESUSA E-10,,,,,,,1.0,1.0,,,
2132,SAN BASILIO E-10,,,,,,,1.0,,,,3.0
2133,LA ORQUIDEA E-5,,,,,,,1.0,2.0,4.0,,
2134,TERRAZAS DE SAN JORGE E-18,,,,,,,1.0,1.0,,,
2135,CIUDADELA EL RECREO ETAPAS 3A-3B E-7,,,,,,,1.0,,,,
2136,LA PAZ (EL CEBADAL) E-18,,,,,,,1.0,,3.0,,
2137,CARMEN DEL SOL E-18,,,,,,,1.0,,,,4.0
2138,EL PORVENIR SECTOR BRASIL E-7,,,,,,,1.0,3.0,,,
2139,RICAURTE OCCIDENTAL E-16,,,,,,,,,,,84.0
2140,LA FLORIDA OCCIDENTAL E-16,,,,,,,,,,,50.0
2141,CAMPANELLA E-11,,,,,,,,3.0,7.0,,13.0
2142,FONTIBON UNIDAD RESIDENCIAL E-9,,,,,,,,2.0,,,15.0
2143,EL CAMPIN (COLISEO) E-13,,,,,,,,1.0,,,20.0
2144,CARVAJAL E-10,,,,,,,,,,,9.0
2145,LA ESPERANZA II E-9,,,,,,,,,,,10.0
2146,INDUSTRIAL CENTENARIO E-16,,,,,,,,,,,10.0
2147,PREDIO EL JARDIN E-10,,,,,,,,,,,17.0
2148,BELEN,,,,,,,,,,,8.0
2149,ANTIGUO HIPODROMO DE TECHO E-8,,,,,,,,,,,11.0
2150,HOSPITAL DE KENNEDY E-8,,,,,,,,,,,9.0
2151,VILLA ALSACIA SECTOR A E-9,,,,,,,,,1.0,,12.0
2152,EL CEDRITO E-1,,,,,,,,,,,10.0
2153,RINCON DE MANDALAY E-8,,,,,,,,1.0,,,9.0
2154,PONTEVEDRA II SECTOR E-11,,,,,,,,2.0,,,13.0
2155,CASA BLANCA II E-11,,,,,,,,1.0,,,8.0
2156,EL REDIL II ETAPA E-1,,,,,,,,2.0,2.0,,
2157,CARACAS E-15,,,,,,,,,,,10.0
2158,SANTA TERESA E-11,,,,,,,,,1.0,,7.0
2159,ALMACEN 3 ELEFANTES MODELIA E-9,,,,,,,,2.0,,,
2160,SANTA BARBARA E-3,,,,,,,,,4.0,,13.0
2161,ATABANZA E-11,,,,,,,,1.0,,,6.0
2162,ALTAMAR E-11,,,,,,,,,2.0,,7.0
2163,GRANADA E-11,,,,,,,,1.0,1.0,,13.0
2164,ALFONSO LOPEZ SECTOR BUENOS AIRES E-5,,,,,,,,1.0,5.0,,
2165,CANTALEJO SECTOR ALEJANDRIA E-11,,,,,,,,2.0,,,10.0
2166,ENTRERRIOS E-12,,,,,,,,,,,12.0
2167,SAN PABLO II E-7,,,,,,,,,3.0,,
2168,SAN JOAQUIN DEL VATICANO E-19,,,,,,,,2.0,,,5.0
2169,TEJARES DEL NORTE E-11,,,,,,,,2.0,,,
2170,LOURDES E-17,,,,,,,,,1.0,,6.0
2171,VILLA SONIA E-16,,,,,,,,,1.0,,6.0
2172,RINCON DE LOS ANGELES E-8,,,,,,,,,,,6.0
2173,TUNAL CENTRAL E-19,,,,,,,,,,,6.0
2174,FISCALA ALTA E-5,,,,,,,,1.0,2.0,,6.0
2175,SAN FACSON E-14,,,,,,,,,3.0,,8.0
2176,CALLE 170 E-1,,,,,,,,,,,4.0
2177,SANTA HELENA COLINAS DE SUBA E-11,,,,,,,,,,,4.0
2178,CIUDADEAL LA LIBERTAD II E-7,,,,,,,,,2.0,,5.0
2179,NUEVAS DELICIAS E-8,,,,,,,,,1.0,,4.0
2180,JERICO E-9,,,,,,,,3.0,1.0,,4.0
2181,PARQUES DE LA FLORIDA E-10,,,,,,,,,,,
2182,MANUELA BELTRAN E-19,,,,,,,,,3.0,,4.0
2183,VILLA SAGRARIO E-10,,,,,,,,1.0,,,4.0
2184,LA LIBERTAD II E-7,,,,,,,,1.0,,,
2185,MODELIA SECTOR C E-9,,,,,,,,1.0,,,4.0
2186,ANTONIA SANTOS E-14,,,,,,,,,,,
2187,PORTAL DEL SUR CIUDADELA COMERCIAL E-4,,,,,,,,,,,
2188,PALERMO III SECTOR E-13,,,,,,,,,,,4.0
2189,PORTALES DE SAN JOSE E-7,,,,,,,,,,,5.0
2190,VILLA DEL PROGRESO E-7,,,,,,,,,2.0,,
2191,AUTOPISTA NORTE II SECTOR E-1,,,,,,,,,,,5.0
2192,CUMBRES DEL SALITRE E-9,,,,,,,,,,,
2193,EL PORVENIR PARCELA 33 E-7,,,,,,,,1.0,,,
2194,SANTA LIBRADA LOS TEJARES E-5,,,,,,,,5.0,1.0,,5.0
2195,CALLEJA DOS MIL E-1,,,,,,,,,,,4.0
2196,EL MORTIÑO E-10,,,,,,,,1.0,,,
2197,NUEVA MARSELLA III SECTOR E-8,,,,,,,,1.0,,,
2198,CENTRO RESIDENCIAL AVENIDA CHILE E-12,,,,,,,,,,,4.0
2199,CAMINO DE MODELIA E-9,,,,,,,,,1.0,,4.0
2200,EL RINCON DE CASTILLA E-8,,,,,,,,,,,
2201,BAVARIA TECHO I SECTOR E-8,,,,,,,,1.0,,,4.0
2202,FLORALIA I Y II SECTOR E-8,,,,,,,,,,,
2203,LA PENINSULA E-4,,,,,,,,1.0,1.0,,
2204,EL MIRADOR DE MARROCOS E-18,,,,,,,,,3.0,,3.0
2205,RINCON SANTO E-9,,,,,,,,,,,3.0
2206,CIUDAD SALITRE SPMZ 12-13-18 E-13,,,,,,,,,,,5.0
2207,SAN CARLOS E-1,,,,,,,,,,,
2208,VICTORIA E-1,,,,,,,,,,,3.0
2209,CIUDAD SALITRE SPMZ 9-10-11 E-13,,,,,,,,,,,4.0
2210,VEREDA CASABLANCA SUBA E-11,,,,,,,,,,,
2211,SAN FRANCISCO NORTE E-11,,,,,,,,,1.0,,4.0
2212,LA PALMA I E-11,,,,,,,,,,,
2213,CHUCUA III SECTOR E-11,,,,,,,,1.0,,,3.0
2214,EL PEDREGAL E-1,,,,,,,,,,,
2215,ALAMOS NORTE SECTOR INDUSTRIAL E-10,,,,,,,,1.0,,,6.0
2216,FLORENCIA NORTE E-10,,,,,,,,,,,
2217,LOS CEREZOS SAN JOAQUIN E-11,,,,,,,,,2.0,,
2218,MANZANARES E-7,,,,,,,,1.0,,,4.0
2219,LA PRIMAVERA E-1,,,,,,,,,1.0,,
2220,SAN RAFAEL NORTE I E-11,,,,,,,,,,,
2221,URB. PORTAL DEL RESTREPO E-15,,,,,,,,,,,
2222,URB. LAS LOMAS I Y II SECTOR E-18,,,,,,,,,,,3.0
2223,LA ISABELA II E-10,,,,,,,,2.0,,,
2224,LAS COLUMNAS E-4,,,,,,,,2.0,1.0,,3.0
2225,SERENA E-10,,,,,,,,,1.0,,6.0
2226,FIORITA E-10,,,,,,,,,,,
2227,SANTA FE I E-7,,,,,,,,,,,
2228,MODELIA SECTOR A E-9,,,,,,,,1.0,,,3.0
2229,CHICO ALTO E-2,,,,,,,,2.0,4.0,,31.0
2230,CANTARRANA E-5,,,,,,,,,,,3.0
2231,ATARDECERES DE SUBA E-11,,,,,,,,,,,
2232,PREDIO TINTALITO MAZUERA E-8,,,,,,,,,,,
2233,ALCAPARROS I-II E-11,,,,,,,,,1.0,,6.0
2234,BALCON DE SUBA E-11,,,,,,,,1.0,,,4.0
2235,POLO OCCIDENTAL E-12,,,,,,,,,,,4.0
2236,EL PEDREGAL E-5,,,,,,,,1.0,,,
2237,PORTAL E-7,,,,,,,,,,,3.0
2238,ALMACEN EXITO I E-10,,,,,,,,,,,
2239,SANTA MONICA E-1,,,,,,,,2.0,2.0,,5.0
2240,EL BOSQUE DE BOSA E-7,,,,,,,,2.0,,,3.0
2241,QUIRIGUA SECTORES B.C.D. Y E. E-10,,,,,,,,,,,3.0
2242,LA ESTACION DE LA SABANA E-14,,,,,,,,,,,9.0
2243,SAUSALITO E-9,,,,,,,,,1.0,,3.0
2244,LOS CAMPOS E-10,,,,,,,,1.0,,,
2245,VERAGUAS I SECTOR E-14,,,,,,,,,,,3.0
2246,QUIRINAL E-13,,,,,,,,,1.0,,4.0
2247,LA DESPENSA E-7,,,,,,,,,1.0,,3.0
2248,CAMPANELLA I Y II ETAPA E-11,,,,,,,,,,,
2249,CEREZOS SECTOR LA ESPERANZA E-10,,,,,,,,,2.0,,3.0
2250,GECOLSA E-7,,,,,,,,,,,
2251,LOS ANGELES E-16,,,,,,,,1.0,,,
2252,EGIPTO ALTO E-3,,,,,,,,,,,
2253,URB. VILLAS DE ANDALUCIA E-1,,,,,,,,,,,
2254,PLAZA DE TOROS E-3,,,,,,,,,,,
2255,EL RINCON DE IBERIA E-11,,,,,,,,,1.0,,4.0
2256,LAS MANITAS E-19,,,,,,,,,,,3.0
2257,CALLE 100 E-11,,,,,,,,,,,4.0
2258,MODELIA SECTOR E E-9,,,,,,,,,,,
2259,SANTA LIBRADA SALAZAR SALAZAR E-5,,,,,,,,3.0,1.0,,4.0
2260,LAS TERRAZAS E-11,,,,,,,,,,,
2261,AV 68 E-10,,,,,,,,,,,4.0
2262,ALMACEN HOMECENTER II E-10,,,,,,,,,,,
2263,NIZA NORTE II SECTOR E-11,,,,,,,,1.0,,,4.0
2264,JARDIN SAN JORGE E-18,,,,,,,,,,,
2265,SERAFINA TUBOS MOORE E-4,,,,,,,,1.0,,,
2266,LA MAGDALENA E-3,,,,,,,,,,,
2267,TERMINAL MODULO ROJO,,,,,,,,,1.0,,3.0
2268,ESPAÑOLA TERCERA ETAPA E-10,,,,,,,,,,,6.0
2269,SANTA RITA SUR ORIENTAL II SECTOR E-4,,,,,,,,,,,
2270,CERROS DE SANTA ANA E-1,,,,,,,,,,,
2271,BOSQUES DE NORMANDIA E-10,,,,,,,,,3.0,,5.0
2272,LA ESPERANZA E-4,,,,,,,,,,,
2273,JABOQUE E-10,,,,,,,,,1.0,,3.0
2274,VILLA ALEXANDRA E-8,,,,,,,,,,,
2275,ALBANIA E-3,,,,,,,,,,,3.0
2276,SAN LUIS E-5,,,,,,,,2.0,,,
2277,EL TIEMPO E-10,,,,,,,,,,,3.0
2278,CIUDAD SALITRE SPMZ I 16-17-22-23 E-9,,,,,,,,,,,
2279,BOHIOS DE HUNZA E-9,,,,,,,,,1.0,,
2280,PARQUE COMERCIAL BIMA E-11,,,,,,,,,,,
2281,RINCON DE LOS ANDES E-12,,,,,,,,1.0,,,6.0
2282,URB. SANTA BARBARA E-1,,,,,,,,,,,
2283,LLANOS DE BOSA E-7,,,,,,,,,,,2.0
2284,EL RINCON DE LA CAMAPIÑA E-11,,,,,,,,,,,
2285,EL CONSUELO E-1,,,,,,,,,,,
2286,RECODO DEL RESTREPO DESARROLLO E-15,,,,,,,,,,,2.0
2287,SATURNO E-9,,,,,,,,2.0,,,
2288,ATENAS CIUDAD PRIVADA E-11,,,,,,,,,10.0,,
2289,NUEVO MUZO II SECTOR II ETAPA E-6,,,,,,,,,,,2.0
2290,ESPARTA E-10,,,,,,,,,,,
2291,SANTA BARBARA II SECTOR E-11,,,,,,,,1.0,,,
2292,SAN JOAQUIN EL UVAL E-5,,,,,,,,,,,
2293,LOS ARRAYANES E-5,,,,,,,,1.0,1.0,,
2294,LA ESTRELLA E-11,,,,,,,,,,,
2295,SANTA FELISA E-1,,,,,,,,,,,
2296,VEREDA BARRANCAS ORIENTAL E-1,,,,,,,,,,,
2297,PALERMO SUR LAS BRISAS E-18,,,,,,,,,1.0,,
2298,VILLA PILAR E-11,,,,,,,,,,,
2299,EL FERROL E-8,,,,,,,,,,,4.0
2300,CASALOMA E-19,,,,,,,,,,,
2301,ANTONIO GRANADOS E-11,,,,,,,,,,,
2302,EL CAMPIN (P.DPTVO) E-13,,,,,,,,,,,
2303,EL MIRADOR E-10,,,,,,,,,1.0,,
2304,TONOLI E-8,,,,,,,,,,,
2305,LAS VIVIENDAS E-5,,,,,,,,,,,
2306,LAS FLORES I E-9,,,,,,,,,,,
2307,PIEDEMONTE E-11,,,,,,,,,,,
2308,EL BRILLANTE E-5,,,,,,,,,2.0,,3.0
2309,PIJAO DE ORO E-11,,,,,,,,,,,2.0
2310,BRAZUELOS SECTOR LA ESMERALDA E-5,,,,,,,,1.0,,,
2311,CHICO SUR,,,,,,,,,,,
2312,LA BRITALIA E-11,,,,,,,,,,,2.0
2313,JUAN AMARILLO E-11,,,,,,,,,1.0,,2.0
2314,MIRAFLORES E-8,,,,,,,,1.0,,,
2315,LA FLORESTA E-16,,,,,,,,,,,2.0
2316,ENTRE BOSQUES E-11,,,,,,,,,,,
2317,LOS PINARES E-11,,,,,,,,,,,
2318,LOS NOGALES I E-10,,,,,,,,,,,
2319,VILLA MORALES E-18,,,,,,,,,1.0,,
2320,RUBI E-11,,,,,,,,,,,3.0
2321,BETANIA E-8,,,,,,,,1.0,2.0,,2.0
2322,LA CONCORDIA E-3,,,,,,,,,1.0,,
2323,EL CAMPINCITO,,,,,,,,,,,
2324,VILLAS DEL PINAR E-9,,,,,,,,,,,2.0
2325,SANTA ISABLE IV SECTOR URB. E-14,,,,,,,,,,,2.0
2326,MULTIFAMILIAR VILLA EMILIA E-8,,,,,,,,,,,
2327,AEROPUERTO ANGARES PRIVADOS,,,,,,,,,,,
2328,RINCON DEL VALLE E-18,,,,,,,,,,,
2329,EL REGALO DESARROLLO E-7,,,,,,,,,,,
2330,ALTOS DE LA ESPERANZA I SECTOR E-11,,,,,,,,,2.0,,
2331,BELALCAZAR SUR E-13,,,,,,,,,,,2.0
2332,CATALEJO E-11,,,,,,,,,1.0,,
2333,EL PINAR E-8,,,,,,,,,,,
2334,ALTOS DEL COUNTRY CLUB E-1,,,,,,,,,2.0,,3.0
2335,LOTE EN MORATO E-11,,,,,,,,,,,
2336,TORCOROMA E-1,,,,,,,,,,,
2337,ANDREA E-5,,,,,,,,1.0,,,3.0
2338,NUEVO CAMPIN E-13,,,,,,,,3.0,1.0,,5.0
2339,LAS ACACIAS,,,,,,,,,,,
2340,LA CAMPIÑA E-7,,,,,,,,,1.0,,
2341,EL MUELLE I E-10,,,,,,,,,1.0,,
2342,PLAN CANTERAS E-19,,,,,,,,,,,
2343,LA FISCALA LOTE 16 Y LOTE 16A E-5,,,,,,,,,,,
2344,TIBABITA LOTE NO. 32 PARCELACION E-1,,,,,,,,,,,
2345,SAN JUAN DE USME E-5,,,,,,,,,,,
2346,SAN MARTIN E-2,,,,,,,,,1.0,,
2347,MONTE CARLO E-9,,,,,,,,,,,
2348,SANTA CECILIA E-7,,,,,,,,,,,
2349,PLANADAS E-9,,,,,,,,,,,
2350,QUIRIGUA SECTOR A E-10,,,,,,,,,,,
2351,SANTA RITA III SECTOR E-16,,,,,,,,1.0,,,2.0
2352,VILLA DIANA LOPEZ E-19,,,,,,,,,,,
2353,URB. VILLAS DEL MEDITERRANEO E-1,,,,,,,,,,,2.0
2354,CERROS NIZA NO. 2 E-11,,,,,,,,1.0,,,
2355,CONJUNTO URBANO LA ARTILLERIA E-6,,,,,,,,1.0,,,
2356,VIA CHOACHI E-3,,,,,,,,,,,
2357,SANTA MARIA DEL RINCON,,,,,,,,,,,
2358,ALTOS DEL VIRREY E-4,,,,,,,,,1.0,,3.0
2359,CAMILO TORRES E-16,,,,,,,,,,,
2360,PARQUE CENTRAL BAVARIA E-3,,,,,,,,,,,2.0
2361,CIUDAD SALITRE SPMZ 1 - 25 E-9,,,,,,,,,,,
2362,EL LIBANO E-5,,,,,,,,,,,
2363,VER.GUABINAL,,,,,,,,,,,
2364,EL LAGUITO E-11,,,,,,,,,,,2.0
2365,CERROS DEL SUR E-19,,,,,,,,1.0,1.0,,
2366,LA ESMERALDA,,,,,,,,,,,
2367,EL TRIANGULO E-5,,,,,,,,,,,
2368,LA GRANJA EL CARMEN E-10,,,,,,,,,,,
2369,CLASS E-7,,,,,,,,,,,3.0
2370,VILLA CATALINA II Y III SECTOR E-11,,,,,,,,,,,
2371,LOS PINOS E-1,,,,,,,,,2.0,,
2372,EL CARMEN E-11,,,,,,,,,,,
2373,SAN VICENTE E-10,,,,,,,,,,,
2374,LA ROCA E-4,,,,,,,,,,,2.0
2375,CADIZ E-13,,,,,,,,,,,
2376,CERROS 170 I ETAPA E-11,,,,,,,,,1.0,,
2377,EL SOLAR I E-11,,,,,,,,,,,2.0
2378,SAN ISIDRO II SECTOR E-4,,,,,,,,,,,
2379,LITUANIA E-10,,,,,,,,2.0,,,
2380,QUINDIO II E-4,,,,,,,,,,,
2381,VER. CANELON,,,,,,,,,,,
2382,LUZ MARIA FERNANDEZ E-10,,,,,,,,1.0,1.0,,
2383,CEDRITOS DEL SUR III SECTOR E-19,,,,,,,,,,,
2384,EL VERGEL FONTIBON E-8,,,,,,,,1.0,,,2.0
2385,SAN ANDRES E-11,,,,,,,,,,,
2386,EL PORTAL SUR ESTE E-5,,,,,,,,1.0,1.0,,
2387,SAN BERNARDINO II SECTOR E-7,,,,,,,,,,,
2388,TERMINAL SATELITE DEL SUR,,,,,,,,,3.0,,
2389,PREDIO EL OASIS E-1,,,,,,,,,,,
2390,ALTOS DE SAN JORGE E-11,,,,,,,,,7.0,,
2391,EL CONDADO DE LA PAZ E-8,,,,,,,,,,,
2392,PUENTE COLORADO E-4,,,,,,,,1.0,1.0,,2.0
2393,LAS MERCEDES E-10,,,,,,,,3.0,,,
2394,ANDALUCIA E-10,,,,,,,,,1.0,,
2395,HEROES E-7,,,,,,,,,,,3.0
2396,CIUDAD HONDA E-10,,,,,,,,,,,
2397,SAN ANDRES BAJO E-11,,,,,,,,,,,
2398,EL REFUGIO E-2,,,,,,,,1.0,,,5.0
2399,EL RINCON DE LA 100 E-11,,,,,,,,,1.0,,2.0
2400,PARCELACION EL PORVENIR E-19,,,,,,,,,,,
2401,SIMON BOLIVAR E-11,,,,,,,,,,,
2402,ARRAYANES E-11,,,,,,,,1.0,,,
2403,ESPERANZA I Y II SECTOR E-7,,,,,,,,,,,3.0
2404,CIUDAD BERNA (FUCHA URB.) E-4,,,,,,,,,,,2.0
2405,EL BOSQUE E-11,,,,,,,,,,,
2406,CONJUNTO RESIDENCIAL MIRASIERRA E-1,,,,,,,,,,,
2407,PUEBLO NUEVO E-9,,,,,,,,,,,
2408,LAS CAROLINAS DE SOACHA E-10,,,,,,,,,,,2.0
2409,EL OLIVO E-11,,,,,,,,,,,
2410,GRANCOLOMBIANO II SECTOR E-7,,,,,,,,1.0,1.0,,
2411,OBRERO ANTONIO RICAURTE E-14,,,,,,,,,2.0,,3.0
2412,PANORAMA (ALTAMIRA) E-4,,,,,,,,,,,
2413,LAS GRANJAS E-9,,,,,,,,,1.0,,4.0
2414,EL REDENTOR E-6,,,,,,,,,,,
2415,ESPINOS I E-19,,,,,,,,,6.0,,6.0
2416,NICOLAS DE FEDERMAN II SECTOR E-13,,,,,,,,,,,
2417,TEQUENDAMA E-5,,,,,,,,1.0,,,
2418,BOSQUE DE LOS ALPES E-4,,,,,,,,,,,
2419,MEISSEN NORTE E-10,,,,,,,,,,,
2420,LA PALMA E-7,,,,,,,,,1.0,,2.0
2421,LA CABAÑA E-19,,,,,,,,,,,
2422,NUEVA SANTAFE DE BOGOTA E-17,,,,,,,,,1.0,,3.0
2423,TAIRONA COMERCIAL E-8,,,,,,,,,,,
2424,PARQUES DE GRADANA E-10,,,,,,,,1.0,,,
2425,EL PORTAL E-18,,,,,,,,1.0,,,2.0
2426,VILLA DEL PINAR E-9,,,,,,,,,,,
2427,VILLA HERMOSA E-5,,,,,,,,,,,
2428,EL LAGUITO,,,,,,,,,,,
2429,SAN DIEGO E-11,,,,,,,,,,,2.0
2430,BONANZA SUR E-19,,,,,,,,,2.0,,
2431,MONTECARLO E-4,,,,,,,,,4.0,,
2432,EL JAZMIN II SECTOR E-16,,,,,,,,,4.0,,3.0
2433,CEREZOS DE SUBA E-11,,,,,,,,,,,2.0
2434,BARRANCAS PERLAS DEL NORTE E-1,,,,,,,,,,,
2435,LA PALMA E-10,,,,,,,,,,,
2436,VISTA HERMOSA (EL LEON) E-2,,,,,,,,,,,
2437,EL PORTAL DE LAS MERCEDES E-11,,,,,,,,1.0,,,
2438,LINTERAMA E-10,,,,,,,,2.0,,,5.0
2439,CIUDAD KENNEDY SPMZ 6 E-8,,,,,,,,,,,
2440,ASOVIVIR E-7,,,,,,,,,2.0,,
2441,LA ESPERANZA I E-10,,,,,,,,,,,3.0
2442,RINCON DE MODELIA E-9,,,,,,,,,,,2.0
2443,ALFONSO JARAMILLO E-11,,,,,,,,,,,
2444,LA AURORA E-7,,,,,,,,,,,
2445,PARQUES DE PRIMAVERA E-16,,,,,,,,,,,3.0
2446,LA RIVERA II E-7,,,,,,,,1.0,,,
2447,EL CONSUELO SUR E-18,,,,,,,,1.0,,,
2448,TERMINAL MODULO AZUL,,,,,,,,,,,2.0
2449,IBERIA TRIANGULO II SECTOR E-11,,,,,,,,,,,
2450,BATANIA E-5,,,,,,,,,,,
2451,LONDRES E-11,,,,,,,,1.0,1.0,,
2452,LA MIRADA E-11,,,,,,,,,,,
2453,TORRES DE FENICIA E-3,,,,,,,,,,,
2454,EL PILAR E-4,,,,,,,,1.0,7.0,,
2455,ACACIAS E-11,,,,,,,,,1.0,,3.0
2456,ZONA INDUSTRIAL E-13,,,,,,,,,,,
2457,COLMENA I E-4,,,,,,,,,,,
2458,BOSCANIA E-8,,,,,,,,,1.0,,
2459,COSTA BELLA E-9,,,,,,,,,,,
2460,MARISCAL SUCRE E-5,,,,,,,,1.0,3.0,,
2461,CONDADO DE IBERIA III E-11,,,,,,,,,,,
2462,VILLA NELLY III LOS ALISOS E-8,,,,,,,,1.0,,,4.0
2463,SAN FERNANDO E-3,,,,,,,,,4.0,,
2464,EXPERIMENTAL KENNEDY I ETAPA E-8,,,,,,,,,,,
2465,CERROS NORTE E-1,,,,,,,,,1.0,,
2466,BOGOTA SECTOR TEQUENDAMA E-19,,,,,,,,,2.0,,
2467,HUMBERTO VALENCIA E-7,,,,,,,,,,,3.0
2468,LA PALMA E-11,,,,,,,,,,,
2469,BOSQUES DE SAN VICENTE E-10,,,,,,,,,,,
2470,VIRREY ESPELETA E-3,,,,,,,,,,,2.0
2471,EL CONSUELO E-18,,,,,,,,1.0,3.0,,6.0
2472,ALTAMAR E-8,,,,,,,,,2.0,,2.0
2473,NUEVA ESCOCIA E-11,,,,,,,,1.0,,,
2474,PARQUE LOS NOVIOS E-12,,,,,,,,,,,3.0
2475,SAN JUAN I SECTOR E-5,,,,,,,,,,,
2476,CENTRAL E-14,,,,,,,,,,,
2477,GRANJAS EL DORADO E-10,,,,,,,,1.0,2.0,,2.0
2478,TUNA BAJA III SECTOR E-11,,,,,,,,1.0,1.0,,
2479,URB. DARDANELOS E-1,,,,,,,,,,,
2480,FLORIDA BLANCA II SECTOR II ETAPA E-10,,,,,,,,,1.0,,
2481,NUEVA COLOMBIA E-19,,,,,,,,,1.0,,
2482,VER.JUAN 23,,,,,,,,,,,
2483,AMERICAS OCCIDENTAL IV ETAPA E-8,,,,,,,,,,,2.0
2484,FISCALA ALTA E-4,,,,,,,,1.0,,,
2485,CIUDAD KENNEDY SPMZ 6B E-8,,,,,,,,,,,
2486,URB. VILA NOVA E-11,,,,,,,,,,,
2487,NICOLAS DE FEDERMAN I SECTOR E-13,,,,,,,,2.0,,,3.0
2488,LA COFRADIA II SECTOR E-9,,,,,,,,,,,
2489,EL BALCON DE LINDARAJA E-11,,,,,,,,,,,
2490,ATENAS I E-4,,,,,,,,,,,
2491,PROTECHO BOGOTA II ETAPA I E-19,,,,,,,,,,,2.0
2492,ARCOS DE BRITALIA E-11,,,,,,,,,1.0,,
2493,NUEVA JERSEY E-7,,,,,,,,,,,
2494,UNICERROS E-1,,,,,,,,,1.0,,
2495,ESCOCIA VII SECTOR E-7,,,,,,,,,,,
2496,LA FISCALA SECTOR RODRIGUEZ E-5,,,,,,,,,,,
2497,VILLA COLOMBIA II SECTOR E-7,,,,,,,,,,,
2498,SANTA HELENA DE BAVIERA IV E-11,,,,,,,,1.0,,,3.0
2499,OIKOS LA COLINA E-11,,,,,,,,,,,
2500,VILLA DEL RIO E-19,,,,,,,,,2.0,,3.0
2501,GRANJA LAS MERCEDES E-11,,,,,,,,,,,
2502,HUERTOS DE LA ESTANCIA E-11,,,,,,,,,,,
2503,QUINTAS DE SANTA CECILIA E-8,,,,,,,,,,,
2504,FISCALA SECTOR CENTRO E-5,,,,,,,,,,,
2505,VILLA CRISTINA E-10,,,,,,,,,,,
2506,CHAMICERA CENTRAL E-16,,,,,,,,1.0,,,2.0
2507,FACCINI E-9,,,,,,,,,,,
2508,EL QUIRINAL II SECTOR E-13,,,,,,,,,,,
2509,LA CATALINA E-10,,,,,,,,,,,
2510,RINCON DE CAYAMBE E-1,,,,,,,,,,,
2511,BALCANES E-4,,,,,,,,,,,
2512,BUENOS AIRES II E-19,,,,,,,,,,,
2513,EL PROGRESO,,,,,,,,,,,
2514,SURBANA E-7,,,,,,,,1.0,,,3.0
2515,GRANADA SUR II SECTOR E-4,,,,,,,,,,,2.0
2516,BRASIL SECTOR BARRETO E-7,,,,,,,,,,,
2517,INDUSTRIAL PARAVAS E-10,,,,,,,,,,,
2518,EL PORTAL II E-1,,,,,,,,,,,
2519,VILLA CAROLINA E-7,,,,,,,,1.0,,,
2520,EL ESQUINERO E-19,,,,,,,,,,,
2521,ARGENTINA E-19,,,,,,,,,1.0,,2.0
2522,EL JORDAN E-9,,,,,,,,,,,
