Direccion;Barrio;Latitud;Longitud;Tipo_vivienda;Dproymes;Localidad;Cod_proyecto;Proyecto;
Cl. 72A # 62-14;San Fernando;4.67441;-74.08093;No VIS;1;Barrios Unidos;50941;Nova 72 +;
Cl. 34 # 18-25;Teusaquillo;4.623509;-74.073564;No VIS;3;Teusaquillo;50942;Kardonal 34;
Av. Cr. 14 # 71-44;Quinta Camacho;4.658218;-74.061415;No VIS;53;Barrios Unidos;50944;Life 72 +;
Cl. 63D # 28A-64;7 de agosto;4.655789;-74.07744;No VIS;14;Barrios Unidos;50946;Salamanca +;
Cr. 12 # 32F-80 Sur;La Resureción;4.569777;-74.113913;VIS;12;Rafael Uribe Uribe;50948;Granjas de Santa Sofía;
Cr. 8 # 43-38;Javeriana;4.630736;-74.065419;No VIS;2;Chapinero;50951;Apartaestudios 8-43;
Cr. 6 # 48A-47;Chapinero Alto;4.63545;-74.06348;No VIS;4;Chapinero;50956;Óga 6-48;
Cl. 13 Sur # 24B-89;Valvanera;4.589899;-74.101306;No VIS;34;Antonio Nariño;50958;Valvanera 24;
Cl. 21 Sur # 2-31;Montebello;4.569051;-74.089725;VIS;1;San Cristóbal;50965;Monte Rizzo Club Res.;
Cr. 50 # 57B-80;Nicolas de Federman;4.649171;-74.084994;No VIS;8;Teusaquillo;50973;Volterra Village +;
Cr. 35A # 57B-14;Nicolas de Federman;4.648037;-74.080116;No VIS;4;Teusaquillo;50975;Torres de la Merced;
Av. Cr. 14 # 58-26;Chapinero;4.645148;-74.065128;No VIS;10;Chapinero;50979;Vitra Art +;
Cr. 57R # 73B-73 Sur;La Estancia;4.595162;-74.17076;VIS;1;Ciudad Bolívar;50981;Torres del Portal;
Cl. 6 # 26-50;Ricaurte;4.604608;-74.094768;No VIS;42;Los Mártires;50982;Avanti Club House;
Cr. 17 # 74C-04 Sur;Lucero Bajo;4.541214;-74.139889;VIS;132;Ciudad Bolívar;50985;Conj. Res. San Joaquín;
Cl. 31 Sur # 9C-51 Este;Ramajal;4.558296;-74.081978;VIS;47;San Cristóbal;50986;Camino de los Andes;
Cr. 11 # 48K-20 Sur;Provendecia Alta;4.559721;-74.116956;VIS;31;Rafael Uribe Uribe;51004;Portal de Molinos III;
Cr. 10 # 15-64 Sur;Ciudad Jardin Sur;4.5797015;-74.0924506;No VIS;13;Antonio Nariño;51007;Ed. Jardines 15-64 ..;
Cl. 35 Sur # 26-74;Claret;4.58505;-74.118998;No VIS;29;Rafael Uribe Uribe;51010;Victoria Place ..;
Cr. 24D # 2-30 Sur;La Fraguita;4.594277;-74.098278;No VIS;10;Antonio Nariño;51012;Dimito Park Club Res. ..;
Cl. 31 Sur # 26D-53;Libertador;4.586331;-74.114899;No VIS;22;Rafael Uribe Uribe;51013;Albina Park;
Cr. 10 # 8-55 Sur;Ciudad Berna;4.583465;-74.089345;No VIS;2;Antonio Nariño;51020;Ten Life;
Cr. 24 0 # 31C-09 Sur;Quiroga;4.583071;-74.115036;No VIS;19;Rafael Uribe Uribe;51027;Arandanos Conj. Res.;
Cr. 29 # 28-49 Sur;Centenario;4.590173;-74.113263;No VIS;7;Antonio Nariño;51028;Saloni;
Cr. 13 # 9-12 Sur;Ciudad Berna;4.586328;-74.092764;No VIS;3;Antonio Nariño;51031;Capital Berna III ..;
Cl. 11 Sur # 10A-08;Ciudad Berna;4.582958;-74.09112;No VIS;1;Antonio Nariño;51032;Capital Berna IV ..;
Dg. 31Bis Sur # 26D-36;Centenario;4.587794;-74.115738;No VIS;3;Rafael Uribe Uribe;51036;Santa Maria del Progreso;
Cl. 29 Sur # 29-03;Santander;4.589603;-74.11479;No VIS;68;Antonio Nariño;51037;Altos 29;
Cl. 59 Sur # 60-63;Madelena;4.588342;-74.156899;VIS;158;Tunjuelito;51038;Torres de San Rafael;
Cr. 78 # 11C-21;Castilla;4.6472465;-74.1354341;No VIS;6;Kennedy;51045;Bosques de Alsacia;
Cr. 33 0 # 41A-88 Sur;Ingles;4.587231;-74.127006;No VIS;6;Rafael Uribe Uribe;51046;Balcones de Centro Mayor ..;
Dg. 49C Sur # 11-60;Molinos;4.5615877;-74.1204314;VIS;90;Rafael Uribe Uribe;51052;Terrazas de Molinos;
Dg. 47 Sur # 12A-01;Sevilla;4.5396867;-74.0886531;VIS;86;San Cristóbal;51055;Torres del 20 de Julio;
